,tag,t,z,mass,width
538,1.00,280.00,397.54,534455.00,3628.87
540,1.00,281.00,396.67,631700.00,4385.11
542,1.00,282.00,396.84,676023.00,4896.84
544,1.00,283.00,397.21,515526.00,3774.86
546,1.00,284.00,397.74,560408.00,4077.75
548,1.00,285.00,397.95,646040.00,4829.26
550,1.00,286.00,397.22,748123.00,5294.11
552,1.00,287.00,397.63,720395.00,4955.14
554,1.00,288.00,396.77,733750.00,5023.05
556,1.00,289.00,396.12,591948.00,4517.47
558,1.00,290.00,396.78,881493.00,6171.46
560,1.00,291.00,396.53,926042.00,6202.62
562,1.00,292.00,396.62,1041153.00,6961.70
564,1.00,293.00,395.99,934177.00,6541.74
566,1.00,294.00,394.24,1073521.00,7052.67
568,1.00,295.00,393.85,1050432.00,6756.56
570,1.00,296.00,393.53,956277.00,6472.10
572,1.00,297.00,392.83,759882.00,5504.75
574,1.00,298.00,393.22,1019609.00,6606.33
576,1.00,299.00,393.44,1096628.00,6813.60
578,1.00,300.00,393.58,965832.00,6428.64
580,1.00,301.00,393.69,826904.00,6031.78
582,1.00,302.00,392.37,735907.00,5210.52
584,1.00,303.00,392.13,765930.00,5266.40
586,1.00,304.00,391.06,778188.00,5394.16
588,1.00,305.00,390.71,663589.00,4887.60
590,1.00,306.00,390.95,887624.00,5854.41
592,1.00,307.00,392.33,992005.00,6637.20
594,1.00,308.00,392.11,794126.00,5855.91
596,1.00,309.00,392.49,685197.00,5118.73
598,1.00,310.00,392.45,531804.00,3910.55
600,1.00,311.00,393.33,478000.00,3245.39
602,1.00,312.00,392.48,610208.00,4223.96
604,1.00,313.00,392.97,664497.00,5085.19
606,1.00,314.00,394.43,693301.00,4718.53
608,1.00,315.00,394.76,769521.00,5139.05
610,1.00,316.00,395.65,770280.00,5556.44
612,1.00,317.00,393.27,886406.00,6111.58
614,1.00,318.00,394.54,796322.00,5580.75
616,1.00,319.00,395.31,665495.00,4572.55
618,1.00,320.00,396.39,637675.00,4662.10
620,1.00,321.00,395.62,429276.00,2986.14
622,1.00,322.00,395.83,550340.00,4193.39
624,1.00,323.00,396.03,421531.00,2807.51
626,1.00,324.00,395.60,590433.00,4123.67
628,1.00,325.00,395.28,532436.00,3852.02
630,1.00,326.00,396.63,526518.00,3985.11
632,1.00,327.00,395.64,448931.00,3311.92
634,1.00,328.00,395.78,477627.00,3402.57
636,1.00,329.00,395.72,858477.00,5610.91
638,1.00,330.00,397.19,1223580.00,8080.23
640,1.00,331.00,397.43,1131312.00,7838.96
642,1.00,332.00,396.42,957734.00,6453.12
644,1.00,333.00,397.56,837908.00,5704.06
646,1.00,334.00,397.30,959764.00,6007.97
648,1.00,335.00,397.40,899772.00,5970.34
650,1.00,336.00,397.27,908450.00,5926.74
652,1.00,337.00,398.24,1125315.00,7127.42
654,1.00,338.00,398.15,816035.00,5463.64
656,1.00,339.00,398.14,758189.00,5263.75
658,1.00,340.00,397.88,694728.00,4838.85
660,1.00,341.00,398.21,834543.00,5457.81
662,1.00,342.00,398.18,801157.00,5303.47
664,1.00,343.00,398.21,974807.00,6154.89
666,1.00,344.00,398.01,909576.00,5847.73
668,1.00,345.00,398.28,533692.00,3845.35
670,1.00,346.00,398.22,513668.00,3726.17
672,1.00,347.00,397.76,489038.00,3480.19
674,1.00,348.00,397.35,512931.00,3745.67
676,1.00,349.00,398.22,512426.00,3800.63
678,1.00,350.00,398.41,474942.00,3668.28
680,1.00,351.00,396.65,504462.00,4044.35
682,1.00,352.00,396.02,486020.00,3815.90
684,1.00,353.00,396.00,609448.00,4555.89
686,1.00,354.00,395.55,499880.00,4123.79
688,1.00,355.00,396.16,531431.00,3957.46
690,1.00,356.00,397.42,633846.00,4493.16
692,1.00,357.00,398.22,524179.00,3751.87
694,1.00,358.00,396.74,637801.00,4813.68
696,1.00,359.00,398.12,533301.00,3795.51
698,1.00,360.00,399.12,509654.00,3823.06
700,1.00,361.00,399.72,553412.00,4253.21
702,1.00,362.00,399.68,600558.00,4414.03
704,1.00,363.00,398.18,698121.00,5127.92
706,1.00,364.00,397.88,929379.00,5943.39
708,1.00,365.00,398.11,923718.00,5839.90
710,1.00,366.00,398.81,901160.00,5909.39
712,1.00,367.00,399.44,961959.00,6437.00
714,1.00,368.00,399.98,843677.00,5963.37
716,1.00,369.00,401.24,662183.00,5130.68
718,1.00,370.00,401.61,744517.00,5707.17
720,1.00,371.00,401.17,541976.00,4065.39
722,1.00,372.00,402.89,501100.00,4039.96
724,1.00,373.00,401.48,563469.00,4454.54
726,1.00,374.00,401.62,493928.00,3836.46
728,1.00,375.00,401.80,567556.00,4524.20
730,1.00,376.00,402.87,436620.00,3325.06
732,1.00,377.00,402.60,447693.00,3370.04
734,1.00,378.00,402.13,431764.00,3108.15
736,1.00,379.00,403.09,603237.00,4322.01
738,1.00,380.00,403.71,684178.00,4711.75
740,1.00,381.00,403.64,736723.00,4885.55
742,1.00,382.00,403.58,696765.00,4788.09
744,1.00,383.00,404.04,738155.00,5099.40
746,1.00,384.00,403.69,552581.00,3576.17
748,1.00,385.00,404.35,674120.00,4836.29
750,1.00,386.00,404.24,520291.00,3754.86
752,1.00,387.00,406.32,552626.00,3879.07
754,1.00,388.00,406.42,413318.00,2661.57
756,1.00,389.00,403.76,481245.00,3616.64
758,1.00,390.00,403.85,515732.00,3957.60
760,1.00,391.00,402.70,629272.00,4836.39
762,1.00,392.00,402.64,752839.00,5284.38
764,1.00,393.00,402.96,1028816.00,6904.36
766,1.00,394.00,403.25,958063.00,6302.57
768,1.00,395.00,404.04,988058.00,6525.10
770,1.00,396.00,404.15,782351.00,5765.44
772,1.00,397.00,405.73,638337.00,4540.62
774,1.00,398.00,405.69,563724.00,3725.08
776,1.00,399.00,408.50,441390.00,3225.16
778,1.00,400.00,406.61,595302.00,4341.66
780,1.00,401.00,406.85,750504.00,5729.14
782,1.00,402.00,406.80,896025.00,6337.05
784,1.00,403.00,407.96,775261.00,5214.71
786,1.00,404.00,408.06,794252.00,5023.13
788,1.00,405.00,407.98,725026.00,4735.94
790,1.00,406.00,408.12,568429.00,4321.24
792,1.00,407.00,407.35,710749.00,5272.11
794,1.00,408.00,406.75,548445.00,4089.04
796,1.00,409.00,407.70,415013.00,2513.17
798,1.00,410.00,403.80,499323.00,3638.79
800,1.00,411.00,403.23,709804.00,5151.01
802,1.00,412.00,404.29,875800.00,5963.57
804,1.00,413.00,403.94,805298.00,5563.75
806,1.00,414.00,402.88,758292.00,5510.82
808,1.00,415.00,403.29,850819.00,5515.56
810,1.00,416.00,404.20,986622.00,6566.01
812,1.00,417.00,404.67,954826.00,6380.56
814,1.00,418.00,405.88,656613.00,4107.15
816,1.00,419.00,405.98,648143.00,4191.92
818,1.00,420.00,406.21,528384.00,3446.53
820,1.00,421.00,406.64,433818.00,3340.14
822,1.00,422.00,408.50,415563.00,3627.33
824,1.00,423.00,407.98,442248.00,3892.46
826,1.00,424.00,407.56,567546.00,4350.29
828,1.00,425.00,407.88,568530.00,4040.19
830,1.00,426.00,407.61,572979.00,4401.68
832,1.00,427.00,408.63,398030.00,2615.61
834,1.00,428.00,407.85,710355.00,5294.48
836,1.00,429.00,407.08,800510.00,5910.04
838,1.00,430.00,406.16,907280.00,6077.33
840,1.00,431.00,406.03,825652.00,5306.68
842,1.00,432.00,406.16,824618.00,5306.78
844,1.00,433.00,405.80,674244.00,4317.48
846,1.00,434.00,403.37,804776.00,5684.50
848,1.00,435.00,403.60,972513.00,6388.04
850,1.00,436.00,402.88,833500.00,5690.76
852,1.00,437.00,402.55,653919.00,4984.39
854,1.00,438.00,405.71,591610.00,4180.21
856,1.00,439.00,407.28,523578.00,3506.21
858,1.00,440.00,406.51,776023.00,5065.96
860,1.00,441.00,407.18,715200.00,5189.92
862,1.00,442.00,408.10,712216.00,5004.64
864,1.00,443.00,406.86,875478.00,6249.95
866,1.00,444.00,407.03,763005.00,4679.19
868,1.00,445.00,406.02,757672.00,4721.97
870,1.00,446.00,404.59,761794.00,4910.47
872,1.00,447.00,403.74,827673.00,5549.35
874,1.00,448.00,403.91,671153.00,4489.62
876,1.00,449.00,402.21,636071.00,4452.47
878,1.00,450.00,402.90,717366.00,4870.44
